,time,Open,High,Low,Close,Volume,stock_code,ric_code,uuid,last_modified_date,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus
54,2023-11-03 14:00:00+08:00,133.154,136.912,123.452,124.589,9442,HSI,^HSI,1298874699438299827,2025-06-02 09:22:10.700305+08:00,癸未,庚辰,乙亥,戊寅,丁丑,戊午,癸亥,壬午,庚戌,庚卯,丙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
55,2023-11-03 15:00:00+08:00,150.377,157.809,149.915,152.441,7649,HSI,^HSI,7646887135762787827,2025-06-02 09:22:10.700305+08:00,甲申,庚辰,乙亥,己卯,丁丑,戊午,癸亥,壬午,甲申,庚辰,丙丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
121,2023-11-06 09:00:00+08:00,188.728,192.404,178.794,187.618,7218,HSI,^HSI,7148493551693537747,2025-06-02 09:22:10.700305+08:00,丁巳,戊辰,癸亥,壬子,丁丑,戊午,癸亥,壬午,丁巳,戊巳,辛丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
122,2023-11-06 10:00:00+08:00,133.798,141.954,132.02,137.084,9268,HSI,^HSI,18020350665886185502,2025-06-02 09:22:10.700305+08:00,丁巳,戊辰,癸亥,壬子,丁丑,戊午,癸亥,壬午,甲申,戊巳,辛丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
123,2023-11-06 11:00:00+08:00,167.699,175.877,165.268,165.959,4906,HSI,^HSI,7615006963396281983,2025-06-02 09:22:10.700305+08:00,戊午,癸未,戊寅,癸丑,丁丑,戊午,癸亥,壬午,戊午,戊午,辛丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
125,2023-11-06 13:00:00+08:00,174.597,177.633,172.681,174.565,1283,HSI,^HSI,3027246727447739368,2025-06-02 09:22:10.700305+08:00,己未,癸未,戊寅,甲寅,丁丑,戊午,癸亥,壬午,己未,癸午,辛丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
126,2023-11-06 14:00:00+08:00,185.564,187.108,178.062,184.299,3286,HSI,^HSI,2745501161988452806,2025-06-02 09:22:10.700305+08:00,己未,癸未,戊寅,甲寅,丁丑,戊午,癸亥,壬午,丙戌,癸午,辛丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
127,2023-11-06 15:00:00+08:00,133.555,137.913,131.283,136.863,9084,HSI,^HSI,7054373897199295173,2025-06-02 09:22:10.700305+08:00,庚申,癸未,戊寅,乙卯,丁丑,戊午,癸亥,壬午,庚申,癸未,辛丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
145,2023-11-07 09:00:00+08:00,157.024,163.726,154.802,158.396,4402,HSI,^HSI,13666517515291125746,2025-06-02 09:22:10.700305+08:00,己巳,己巳,甲子,甲子,丁丑,戊午,癸亥,壬午,己巳,己午,辛丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
146,2023-11-07 10:00:00+08:00,142.76,146.989,138.244,144.798,4987,HSI,^HSI,3207016091737095072,2025-06-02 09:22:10.700305+08:00,己巳,己巳,甲子,甲子,丁丑,戊午,癸亥,壬午,丙申,己午,辛丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
147,2023-11-07 11:00:00+08:00,160.39,161.86,158.37,158.919,5647,HSI,^HSI,16260640284616286332,2025-06-02 09:22:10.700305+08:00,庚午,甲申,己卯,乙丑,丁丑,戊午,癸亥,壬午,庚午,己未,辛丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
149,2023-11-07 13:00:00+08:00,160.324,166.307,152.56,160.614,5102,HSI,^HSI,4922788720925689622,2025-06-02 09:22:10.700305+08:00,辛未,甲申,己卯,丙寅,丁丑,戊午,癸亥,壬午,辛未,甲未,辛丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
150,2023-11-07 14:00:00+08:00,133.312,140.844,128.392,130.442,5540,HSI,^HSI,8017441421974596233,2025-06-02 09:22:10.700305+08:00,辛未,甲申,己卯,丙寅,丁丑,戊午,癸亥,壬午,戊戌,甲未,辛丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
151,2023-11-07 15:00:00+08:00,181.238,186.315,171.585,181.021,6441,HSI,^HSI,13759897693127212249,2025-06-02 09:22:10.700305+08:00,壬申,甲申,己卯,丁卯,丁丑,戊午,癸亥,壬午,壬申,甲申,辛丑,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
169,2023-11-08 09:00:00+08:00,172.536,178.454,170.274,177.94,3609,HSI,^HSI,9406376910935521515,2025-06-02 09:22:10.700305+08:00,辛巳,庚午,乙丑,丙子,癸亥,戊午,癸亥,戊辰,辛巳,庚未,癸亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
170,2023-11-08 10:00:00+08:00,120.08,129.192,117.58,121.29,5868,HSI,^HSI,17104692193236082382,2025-06-02 09:22:10.700305+08:00,辛巳,庚午,乙丑,丙子,癸亥,戊午,癸亥,戊辰,戊申,庚未,癸亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
171,2023-11-08 11:00:00+08:00,125.814,134.144,118.205,123.351,6075,HSI,^HSI,2056736038690429895,2025-06-02 09:22:10.700305+08:00,壬午,乙酉,庚辰,丁丑,癸亥,戊午,癸亥,戊辰,壬午,庚申,癸亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
173,2023-11-08 13:00:00+08:00,103.798,112.049,98.5373,107.811,7371,HSI,^HSI,1222878985894404505,2025-06-02 09:22:10.700305+08:00,癸未,乙酉,庚辰,戊寅,癸亥,戊午,癸亥,戊辰,癸未,乙申,癸亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
174,2023-11-08 14:00:00+08:00,144.548,154.064,144.122,146.136,8362,HSI,^HSI,8447028034602300654,2025-06-02 09:22:10.700305+08:00,癸未,乙酉,庚辰,戊寅,癸亥,戊午,癸亥,戊辰,庚戌,乙申,癸亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
175,2023-11-08 15:00:00+08:00,184.594,189.721,177.366,181.233,3206,HSI,^HSI,7670172318381053373,2025-06-02 09:22:10.700305+08:00,甲申,乙酉,庚辰,己卯,癸亥,戊午,癸亥,戊辰,甲申,乙酉,癸亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
193,2023-11-09 09:00:00+08:00,128.732,131.756,124.999,125.106,1392,HSI,^HSI,12528816507743882701,2025-06-02 09:22:10.700305+08:00,癸巳,辛未,丙寅,戊子,癸亥,戊午,癸亥,戊辰,癸巳,辛申,癸亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
194,2023-11-09 10:00:00+08:00,159.695,163.673,151.551,161.316,3901,HSI,^HSI,12873825319254348519,2025-06-02 09:22:10.700305+08:00,癸巳,辛未,丙寅,戊子,癸亥,戊午,癸亥,戊辰,庚申,辛申,癸亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
195,2023-11-09 11:00:00+08:00,138.313,142.694,129.133,129.685,4796,HSI,^HSI,12419838867238855195,2025-06-02 09:22:10.700305+08:00,甲午,丙戌,辛巳,己丑,癸亥,戊午,癸亥,戊辰,甲午,辛酉,癸亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
197,2023-11-09 13:00:00+08:00,139.596,145.036,135.517,143.779,4428,HSI,^HSI,11484498326288874109,2025-06-02 09:22:10.700305+08:00,乙未,丙戌,辛巳,庚寅,癸亥,戊午,癸亥,戊辰,乙未,丙酉,癸亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
198,2023-11-09 14:00:00+08:00,194.978,196.431,193.212,194.117,8580,HSI,^HSI,1138365270215619278,2025-06-02 09:22:10.700305+08:00,乙未,丙戌,辛巳,庚寅,癸亥,戊午,癸亥,戊辰,壬戌,丙酉,癸亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
199,2023-11-09 15:00:00+08:00,119.376,119.501,113.501,116.985,9862,HSI,^HSI,11549659798776131893,2025-06-02 09:22:10.700305+08:00,丙申,丙戌,辛巳,辛卯,癸亥,戊午,癸亥,戊辰,丙申,丙戌,癸亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
217,2023-11-10 09:00:00+08:00,122.303,128.206,112.506,121.535,1881,HSI,^HSI,3064415287862149800,2025-06-02 09:22:10.700305+08:00,乙巳,壬申,丁卯,庚子,癸亥,戊午,癸亥,戊辰,乙巳,壬酉,癸亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
218,2023-11-10 10:00:00+08:00,163.896,166.26,157.659,164.474,8073,HSI,^HSI,15561112895496281137,2025-06-02 09:22:10.700305+08:00,乙巳,壬申,丁卯,庚子,癸亥,戊午,癸亥,戊辰,壬申,壬酉,癸亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
219,2023-11-10 11:00:00+08:00,170.935,180.554,169.694,173.73,2803,HSI,^HSI,6774316402150175090,2025-06-02 09:22:10.700305+08:00,丙午,丁亥,壬午,辛丑,癸亥,戊午,癸亥,戊辰,丙午,壬戌,癸亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
221,2023-11-10 13:00:00+08:00,115.101,119.027,109.21,117.032,1404,HSI,^HSI,1642501393582787316,2025-06-02 09:22:10.700305+08:00,丁未,丁亥,壬午,壬寅,癸亥,戊午,癸亥,戊辰,丁未,丁戌,癸亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
222,2023-11-10 14:00:00+08:00,191.241,193.437,190.993,192.798,1275,HSI,^HSI,4428541139897862952,2025-06-02 09:22:10.700305+08:00,丁未,丁亥,壬午,壬寅,癸亥,戊午,癸亥,戊辰,甲戌,丁戌,癸亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
223,2023-11-10 15:00:00+08:00,115.216,121.508,109.066,109.382,2065,HSI,^HSI,15722953393751787411,2025-06-02 09:22:10.700305+08:00,戊申,丁亥,壬午,癸卯,癸亥,戊午,癸亥,戊辰,戊申,丁亥,癸亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
289,2023-11-13 09:00:00+08:00,166.879,170.558,160.562,169.663,1646,HSI,^HSI,14902609825768840844,2025-06-02 09:22:10.700305+08:00,辛巳,乙亥,庚午,丙子,癸亥,戊午,癸亥,戊辰,辛巳,乙子,戊亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
290,2023-11-13 10:00:00+08:00,137.649,146.458,134.288,134.975,9194,HSI,^HSI,3943253560571229379,2025-06-02 09:22:10.700305+08:00,辛巳,乙亥,庚午,丙子,癸亥,戊午,癸亥,戊辰,戊申,乙子,戊亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
291,2023-11-13 11:00:00+08:00,156.3,166.029,152.221,160.334,9401,HSI,^HSI,6894140707304257385,2025-06-02 09:22:10.700305+08:00,壬午,庚寅,乙酉,丁丑,癸亥,戊午,癸亥,戊辰,壬午,乙丑,戊亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
293,2023-11-13 13:00:00+08:00,190.785,194.271,181.069,191.956,2755,HSI,^HSI,8661557550806515379,2025-06-02 09:22:10.700305+08:00,癸未,庚寅,乙酉,戊寅,癸亥,戊午,癸亥,戊辰,癸未,庚丑,戊亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
294,2023-11-13 14:00:00+08:00,112.597,121.378,112.052,118.039,9142,HSI,^HSI,1902732000670425539,2025-06-02 09:22:10.700305+08:00,癸未,庚寅,乙酉,戊寅,癸亥,戊午,癸亥,戊辰,庚戌,庚丑,戊亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
295,2023-11-13 15:00:00+08:00,132.495,135.391,123.43,124.554,5805,HSI,^HSI,14746127157983814196,2025-06-02 09:22:10.700305+08:00,甲申,庚寅,乙酉,己卯,癸亥,戊午,癸亥,戊辰,甲申,庚寅,戊亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
313,2023-11-14 09:00:00+08:00,183.49,190.793,178.557,180.99,5010,HSI,^HSI,15441498855834481027,2025-06-02 09:22:10.700305+08:00,癸巳,丙子,辛未,戊子,癸亥,戊午,癸亥,戊辰,癸巳,丙丑,己亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
314,2023-11-14 10:00:00+08:00,154.977,160.414,150.585,159.679,4890,HSI,^HSI,16650753497359244661,2025-06-02 09:22:10.700305+08:00,癸巳,丙子,辛未,戊子,癸亥,戊午,癸亥,戊辰,庚申,丙丑,己亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
315,2023-11-14 11:00:00+08:00,143.373,152.145,135.591,139.422,4885,HSI,^HSI,12992545562516081679,2025-06-02 09:22:10.700305+08:00,甲午,辛卯,丙戌,己丑,癸亥,戊午,癸亥,戊辰,甲午,丙寅,己亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
317,2023-11-14 13:00:00+08:00,134.675,140.305,125.836,133.563,4766,HSI,^HSI,15959067008666178495,2025-06-02 09:22:10.700305+08:00,乙未,辛卯,丙戌,庚寅,癸亥,戊午,癸亥,戊辰,乙未,辛寅,己亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
318,2023-11-14 14:00:00+08:00,121.178,130.807,118.541,126.538,3047,HSI,^HSI,3032366668029765207,2025-06-02 09:22:10.700305+08:00,乙未,辛卯,丙戌,庚寅,癸亥,戊午,癸亥,戊辰,壬戌,辛寅,己亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
319,2023-11-14 15:00:00+08:00,111.767,116.745,103.667,106.153,1991,HSI,^HSI,13003005751015264080,2025-06-02 09:22:10.700305+08:00,丙申,辛卯,丙戌,辛卯,癸亥,戊午,癸亥,戊辰,丙申,辛卯,己亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
337,2023-11-15 09:00:00+08:00,143.62,151.204,136.999,148.809,2247,HSI,^HSI,13014755606199863657,2025-06-02 09:22:10.700305+08:00,乙巳,丁丑,壬申,庚子,癸亥,戊午,癸亥,戊辰,乙巳,丁寅,己亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
338,2023-11-15 10:00:00+08:00,177.492,180.523,176.532,179.887,5003,HSI,^HSI,17144605669267080661,2025-06-02 09:22:10.700305+08:00,乙巳,丁丑,壬申,庚子,癸亥,戊午,癸亥,戊辰,壬申,丁寅,己亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
339,2023-11-15 11:00:00+08:00,190.182,191.078,185.832,189.391,6290,HSI,^HSI,11773884705617630107,2025-06-02 09:22:10.700305+08:00,丙午,壬辰,丁亥,辛丑,癸亥,戊午,癸亥,戊辰,丙午,丁卯,己亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
341,2023-11-15 13:00:00+08:00,130.55,132.443,120.624,130.403,7395,HSI,^HSI,14941806258328003606,2025-06-02 09:22:10.700305+08:00,丁未,壬辰,丁亥,壬寅,癸亥,戊午,癸亥,戊辰,丁未,壬卯,己亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
342,2023-11-15 14:00:00+08:00,194.334,197.687,193.062,193.741,9413,HSI,^HSI,3361111786829458446,2025-06-02 09:22:10.700305+08:00,丁未,壬辰,丁亥,壬寅,癸亥,戊午,癸亥,戊辰,甲戌,壬卯,己亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
343,2023-11-15 15:00:00+08:00,166.674,171.84,166.322,168.664,3914,HSI,^HSI,13815634004900420338,2025-06-02 09:22:10.700305+08:00,戊申,壬辰,丁亥,癸卯,癸亥,戊午,癸亥,戊辰,戊申,壬辰,己亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
361,2023-11-16 09:00:00+08:00,128.665,129.044,127.284,128.858,4880,HSI,^HSI,9715000904107840938,2025-06-02 09:22:10.700305+08:00,丁巳,戊寅,癸酉,壬子,癸亥,戊午,癸亥,戊辰,丁巳,戊卯,己亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
362,2023-11-16 10:00:00+08:00,130.074,134.862,122.391,126.098,3946,HSI,^HSI,8956929949158693029,2025-06-02 09:22:10.700305+08:00,丁巳,戊寅,癸酉,壬子,癸亥,戊午,癸亥,戊辰,甲申,戊卯,己亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
363,2023-11-16 11:00:00+08:00,157.944,160.382,148.053,157.33,2493,HSI,^HSI,6747556818444210005,2025-06-02 09:22:10.700305+08:00,戊午,癸巳,戊子,癸丑,癸亥,戊午,癸亥,戊辰,戊午,戊辰,己亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
365,2023-11-16 13:00:00+08:00,115.409,124.515,106.559,117.338,5779,HSI,^HSI,9244674776335294300,2025-06-02 09:22:10.700305+08:00,己未,癸巳,戊子,甲寅,癸亥,戊午,癸亥,戊辰,己未,癸辰,己亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
366,2023-11-16 14:00:00+08:00,168.064,176.648,164.529,171.526,7987,HSI,^HSI,5251618084247721716,2025-06-02 09:22:10.700305+08:00,己未,癸巳,戊子,甲寅,癸亥,戊午,癸亥,戊辰,丙戌,癸辰,己亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
367,2023-11-16 15:00:00+08:00,108.02,110.011,106.164,106.192,4103,HSI,^HSI,11496311400704508914,2025-06-02 09:22:10.700305+08:00,庚申,癸巳,戊子,乙卯,癸亥,戊午,癸亥,戊辰,庚申,癸巳,己亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
385,2023-11-17 09:00:00+08:00,195.202,200.338,193.275,197.245,8260,HSI,^HSI,18434900150199115231,2025-06-02 09:22:10.700305+08:00,己巳,己卯,甲戌,甲子,癸亥,戊午,癸亥,戊辰,己巳,己辰,甲亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
386,2023-11-17 10:00:00+08:00,169.763,176.862,164.799,170.204,8554,HSI,^HSI,4409633774820694444,2025-06-02 09:22:10.700305+08:00,己巳,己卯,甲戌,甲子,癸亥,戊午,癸亥,戊辰,丙申,己辰,甲亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
387,2023-11-17 11:00:00+08:00,152.103,156.453,150.128,150.153,1530,HSI,^HSI,2424761597168036889,2025-06-02 09:22:10.700305+08:00,庚午,甲午,己丑,乙丑,癸亥,戊午,癸亥,戊辰,庚午,己巳,甲亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
389,2023-11-17 13:00:00+08:00,198.795,208.223,195.54,200.568,1504,HSI,^HSI,12117845215682075900,2025-06-02 09:22:10.700305+08:00,辛未,甲午,己丑,丙寅,癸亥,戊午,癸亥,戊辰,辛未,甲巳,甲亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
390,2023-11-17 14:00:00+08:00,126.868,134.932,121.361,130.105,3936,HSI,^HSI,15559648446547002355,2025-06-02 09:22:10.700305+08:00,辛未,甲午,己丑,丙寅,癸亥,戊午,癸亥,戊辰,戊戌,甲巳,甲亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
391,2023-11-17 15:00:00+08:00,107.865,109.434,102.729,105.919,7784,HSI,^HSI,17298533909300724396,2025-06-02 09:22:10.700305+08:00,壬申,甲午,己丑,丁卯,癸亥,戊午,癸亥,戊辰,壬申,甲午,甲亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
457,2023-11-20 09:00:00+08:00,183.956,188.259,182.79,185.668,4174,HSI,^HSI,13141026926830309618,2025-06-02 09:22:10.700305+08:00,乙巳,壬午,丁丑,庚子,癸亥,戊午,癸亥,戊辰,乙巳,壬未,乙亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
458,2023-11-20 10:00:00+08:00,108.697,108.837,103.488,107.579,6951,HSI,^HSI,8191848802698149107,2025-06-02 09:22:10.700305+08:00,乙巳,壬午,丁丑,庚子,癸亥,戊午,癸亥,戊辰,壬申,壬未,乙亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
459,2023-11-20 11:00:00+08:00,154.52,155.198,145.011,150.079,5078,HSI,^HSI,15830796539587679493,2025-06-02 09:22:10.700305+08:00,丙午,丁酉,壬辰,辛丑,癸亥,戊午,癸亥,戊辰,丙午,壬申,乙亥,戊未,己酉,乙亥,癸卯,辛酉,庚午,丙寅,甲辰,戊申
