,Open_x,High_x,Low_x,Close_x,Volume_x,Dividends_x,Stock Splits_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,year,month,day,hour,dayofweek,quarter,dayofyear,weekofyear,current_hour_pillar_heavenly,current_hour_pillar_earthly,current_hour_pillar_heavenly_sin,current_hour_pillar_heavenly_cos,current_hour_pillar_earthly_sin,current_hour_pillar_earthly_cos,current_day_pillar_heavenly,current_day_pillar_earthly,current_day_pillar_heavenly_sin,current_day_pillar_heavenly_cos,current_day_pillar_earthly_sin,current_day_pillar_earthly_cos,current_day_pillar_minus_heavenly,current_day_pillar_minus_earthly,current_day_pillar_minus_heavenly_sin,current_day_pillar_minus_heavenly_cos,current_day_pillar_minus_earthly_sin,current_day_pillar_minus_earthly_cos,current_hour_pillar_minus_heavenly,current_hour_pillar_minus_earthly,current_hour_pillar_minus_heavenly_sin,current_hour_pillar_minus_heavenly_cos,current_hour_pillar_minus_earthly_sin,current_hour_pillar_minus_earthly_cos,current_month_pillar_heavenly,current_month_pillar_earthly,current_month_pillar_heavenly_sin,current_month_pillar_heavenly_cos,current_month_pillar_earthly_sin,current_month_pillar_earthly_cos,current_year_pillar_heavenly,current_year_pillar_earthly,current_year_pillar_heavenly_sin,current_year_pillar_heavenly_cos,current_year_pillar_earthly_sin,current_year_pillar_earthly_cos,current_year_pillar_minus_heavenly,current_year_pillar_minus_earthly,current_year_pillar_minus_heavenly_sin,current_year_pillar_minus_heavenly_cos,current_year_pillar_minus_earthly_sin,current_year_pillar_minus_earthly_cos,current_month_pillar_minus_heavenly,current_month_pillar_minus_earthly,current_month_pillar_minus_heavenly_sin,current_month_pillar_minus_heavenly_cos,current_month_pillar_minus_earthly_sin,current_month_pillar_minus_earthly_cos,base_year_pillar_heavenly,base_year_pillar_earthly,base_year_pillar_heavenly_sin,base_year_pillar_heavenly_cos,base_year_pillar_earthly_sin,base_year_pillar_earthly_cos,base_month_pillar_heavenly,base_month_pillar_earthly,base_month_pillar_heavenly_sin,base_month_pillar_heavenly_cos,base_month_pillar_earthly_sin,base_month_pillar_earthly_cos,base_day_pillar_heavenly,base_day_pillar_earthly,base_day_pillar_heavenly_sin,base_day_pillar_heavenly_cos,base_day_pillar_earthly_sin,base_day_pillar_earthly_cos,base_hour_pillar_heavenly,base_hour_pillar_earthly,base_hour_pillar_heavenly_sin,base_hour_pillar_heavenly_cos,base_hour_pillar_earthly_sin,base_hour_pillar_earthly_cos,base_month_pillar_minus_heavenly,base_month_pillar_minus_earthly,base_month_pillar_minus_heavenly_sin,base_month_pillar_minus_heavenly_cos,base_month_pillar_minus_earthly_sin,base_month_pillar_minus_earthly_cos,base_hour_pillar_minus_heavenly,base_hour_pillar_minus_earthly,base_hour_pillar_minus_heavenly_sin,base_hour_pillar_minus_heavenly_cos,base_hour_pillar_minus_earthly_sin,base_hour_pillar_minus_earthly_cos,base_year_pillar_minus_heavenly,base_year_pillar_minus_earthly,base_year_pillar_minus_heavenly_sin,base_year_pillar_minus_heavenly_cos,base_year_pillar_minus_earthly_sin,base_year_pillar_minus_earthly_cos,base_day_pillar_minus_heavenly,base_day_pillar_minus_earthly,base_day_pillar_minus_heavenly_sin,base_day_pillar_minus_heavenly_cos,base_day_pillar_minus_earthly_sin,base_day_pillar_minus_earthly_cos,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus,target
current_hour_pillar_minus,-0.0427147,-0.0377177,-0.0572189,-0.0487672,0.0253218,,,-0.107071,-0.144408,-0.169288,1,0.00360933,0.106286,-0.036094,-0.012201,0.299928,-0.142857,-0.0626508,0.0878674,,,,,,,,,-0.093593,-0.0310463,0.00465277,,0.038513,-0.0328434,-0.031074,-0.0319076,-0.107071,,0.980914,0.00744096,,,-0.146178,0.0129928,-0.00521317,-0.0388963,-0.0220701,0.00150982,-0.168428,-0.0202275,0.00521317,0.0388963,0.0492389,-0.0486326,0.984635,0.173156,-0.980914,-0.00744096,-0.173156,-0.163522,0.00705541,-0.0491939,0.0156979,-0.0166533,0.0915251,-0.0154098,0.106286,-0.0283486,0.106599,0.0903072,0.111702,0.011436,-0.036094,0.036094,-0.106599,-0.0903072,-0.146673,-0.024091,-0.0116327,-0.0124038,-0.0156979,0.0166533,-0.082012,0.00601753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0318925,0.173156,0.00689995,-0.160149,-0.0165531,,0.0167059,-0.173156,0.0436617,0.124659,-0.0294971,,-0.0311935,0.173156,0.0211614,-0.160149,-0.00685492,,-0.0163466,0.173156,0.0269755,-0.124659,0.0292149,,0.0299981,-0.173156,-0.0541342,0.160149,0.00943946,,0.0220563,-0.173156,0.0399879,0.124659,-0.0164162,-0.0529339
current_month_pillar,0.0338044,0.0383436,0.0318293,0.0393028,0.105185,,,0.00908139,-0.0672608,-0.00235206,0.00360933,1,0.112639,-0.108492,-0.190963,-0.0673826,-0.069907,0.0260519,0.182407,,,,,,,,,-0.134525,0.0380459,0.138554,,-0.0296035,0.068214,0.0483952,0.0484161,0.00908139,,-0.0271845,-0.0612279,,,-0.0699417,0.0139794,0.0727616,0.12862,-0.00506665,0.0356881,-0.000747364,-0.015175,-0.0727616,-0.12862,-0.00476018,-0.00474318,-0.0244312,0.15846,0.0271845,0.0612279,-0.15846,-0.15683,0.994685,0.435809,-0.681445,0.0565851,-0.142399,-0.402108,0.112639,0.0616482,0.0469551,0.131186,0.131624,0.0511628,-0.108492,0.108492,-0.0469551,-0.131186,-0.141823,-0.105189,-0.186881,0.110416,0.681445,-0.0565851,0.195181,0.463053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0250673,0.15846,-0.0890426,-0.165053,0.0198373,,0.0415148,-0.15846,0.0289943,0.152135,0.162578,,-0.0469372,0.15846,-0.0262666,-0.165053,0.130634,,-0.044386,0.15846,0.0360301,-0.152135,-0.488165,,0.0485349,-0.15846,-0.113807,0.165053,0.03844,,0.0253174,-0.15846,0.0462274,0.152135,0.146227,0.0545573
current_year_pillar,-0.559034,-0.550137,-0.566401,-0.556195,-0.0978658,,,-0.0112164,0.0153569,0.0292271,0.106286,0.112639,1,-0.651761,-0.0121442,0.0256176,0.0191441,-0.00715603,0.631406,,,,,,,,,-0.0486587,-0.679296,0.0221853,,-0.00726955,-0.687842,-0.678524,-0.679587,-0.0112164,,-0.00710451,0.0290089,,,0.0163271,-0.00664661,0.00292739,0.00708275,-0.0292674,0.0358751,0.0289711,0.00114124,-0.00292739,-0.00708275,0.0376467,-0.0309683,-0.00875611,0.658026,0.00710451,-0.0290089,-0.658026,-0.696023,0.0895247,0.190397,-0.0541504,-0.0752528,0.478595,-0.42002,1,0.140781,-0.191986,0.916035,0.981417,0.814313,-0.651761,0.651761,0.191986,-0.916035,-0.940719,-0.484244,-0.0204965,-0.0719357,0.0541504,0.0752528,-0.433444,0.487205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00909765,0.658026,-0.239184,-0.82687,-0.0156296,,0.00352078,-0.658026,0.255154,0.92282,-0.137877,,-0.00445854,0.658026,-0.0588409,-0.82687,-0.0609822,,-0.0270696,0.658026,-0.119577,-0.92282,-0.172554,,0.0238479,-0.658026,-0.191061,0.82687,0.26612,,0.00753681,-0.658026,0.42457,0.92282,-0.106423,-0.547226
current_year_pillar_minus,0.14228,0.130263,0.132493,0.126271,-0.171818,,,-0.00468049,-0.0136578,-0.0148062,-0.036094,-0.108492,-0.651761,1,0.117426,-0.0105764,-0.0183119,0.0499751,-0.62895,,,,,,,,,-0.530661,0.621595,-0.0833358,,0.0322993,0.639853,0.615425,0.614236,-0.00468049,,0.0150378,-0.0150756,,,-0.0132504,-0.012674,-0.0199332,0.00677819,0.0349112,-0.0129413,-0.014827,0.0024803,0.0199332,-0.00677819,-0.0318463,0.0226481,0.0161602,-0.297834,-0.0150378,0.0150756,0.297834,0.214521,-0.0618278,-0.374042,0.1177,0.0951158,-0.141962,0.64275,-0.651761,-0.842626,0.588078,-0.895456,-0.759185,-0.804539,1,-1,-0.588078,0.895456,0.534242,0.976246,0.113866,0.060019,-0.1177,-0.0951158,0.383453,-0.623441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0240934,-0.297834,0.386434,0.557474,-0.0665859,,-0.0250954,0.297834,-0.270249,-0.794646,0.112692,,0.0255914,-0.297834,0.227726,0.557474,-0.0116764,,0.029957,-0.297834,0.00390695,0.794646,0.186899,,-0.0413934,0.297834,0.0742459,-0.557474,-0.226334,,-0.0208294,0.297834,-0.432456,-0.794646,0.121834,0.111112
current_month_pillar_minus,0.163336,0.168344,0.15577,0.165007,0.0793755,,,0.00658842,0.0477319,0.00456325,-0.012201,-0.190963,-0.0121442,0.117426,1,0.0150907,0.0467961,0.00490324,-0.13321,,,,,,,,,-0.138853,0.184425,-0.0857024,,0.010755,0.214993,0.178185,0.17787,0.00658842,,-0.0213009,0.0209298,,,0.0493496,-0.0268305,-0.0597553,-0.113785,0.0302482,0.0372126,0.000497038,0.0412362,0.0597553,0.113785,-0.00408511,-0.0694816,-0.0237297,0.063966,0.0213009,-0.0209298,-0.063966,-0.0253932,-0.184454,-0.0120492,0.651144,-0.00560192,0.10714,0.495197,-0.0121442,-0.144664,0.13976,-0.0629466,-0.0276558,-0.0911681,0.117426,-0.117426,-0.13976,0.0629466,-0.0243013,0.126383,0.994758,0.547769,-0.651144,0.00560192,-0.239996,-0.493953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000939593,0.063966,0.156074,-0.0224643,0.0633042,,-0.0191061,-0.063966,0.152809,-0.0294502,-0.0675169,,0.0235159,0.063966,0.0973436,-0.0224643,0.0267772,,-0.0118897,0.063966,-0.378952,0.0294502,0.193704,,-0.0137351,-0.063966,0.13675,0.0224643,-0.191573,,0.00363935,-0.063966,-0.0129597,-0.0294502,-0.115388,0.16334
current_wuxi_hour,-0.0170041,-0.00984936,-0.0183698,-0.0125972,0.00907426,,,0.104508,0.312752,0.323325,0.299928,-0.0673826,0.0256176,-0.0105764,0.0150907,1,0.312456,-0.0420038,0.0230423,,,,,,,,,-0.0341817,0.00735652,-0.00966346,,0.00696461,0.00914152,0.00650254,0.00631486,0.104508,,0.305943,0.948054,,,0.31368,0.0075176,0.00720618,-0.00848147,0.00556512,-0.0183142,0.325689,0.00537816,-0.00720618,0.00848147,-0.0635361,-0.0250299,0.29878,0.0324186,-0.305943,-0.948054,-0.0324186,-0.030466,-0.0674109,0.00062574,0.0685609,0.00405303,0.0110112,0.0361045,0.0256176,-0.00438272,0.0148622,0.0217961,0.0259855,0.00916205,-0.0105764,0.0105764,-0.0148622,-0.0217961,-0.0311791,-0.00696515,0.0143994,-0.0167843,-0.0685609,-0.00405303,-0.0152106,-0.0461482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0139441,0.0324186,0.0207654,-0.031846,0.0279173,,-0.00459871,-0.0324186,-0.00667721,0.0271714,-0.0203705,,-0.00109837,0.0324186,0.017467,-0.031846,-0.00225252,,-0.00752609,0.0324186,-0.0171913,-0.0271714,0.0564259,,-0.00466339,-0.0324186,-0.00399531,0.031846,-0.00557822,,0.0104147,-0.0324186,-0.00550233,0.0271714,-0.044317,-0.00753468
current_wuxi_day,-0.0266115,-0.0304989,-0.0222182,-0.0225447,-0.0185908,,,0.102975,0.992895,-0.167821,-0.142857,-0.069907,0.0191441,-0.0183119,0.0467961,0.312456,1,0.00526646,0.0223037,,,,,,,,,-0.014213,-0.00851461,0.0257146,,-0.0392495,-0.0195928,-0.00664897,-0.00620421,0.102975,,-0.105389,0.327951,,,0.995193,0.022094,-0.661977,0.0432546,-0.0285015,-0.051985,-0.163383,-0.0452549,0.661977,-0.0432546,0.0283603,0.026027,-0.1531,0.0454139,0.105389,-0.327951,-0.0454139,-0.0388845,-0.0706117,-0.0348139,0.0993456,-0.0146514,0.0514295,0.0505357,0.0191441,0.0103114,0.0274314,0.02419,0.0251003,-0.00280814,-0.0183119,0.0183119,-0.0274314,-0.02419,-0.0322505,-0.0198013,0.0460747,0.0473133,-0.0993456,0.0146514,-0.0493738,-0.0598108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0480555,0.0454139,0.0316169,-0.0421948,-0.0197601,,0.00502766,-0.0454139,0.00156299,0.0330905,0.0189648,,-0.0196232,0.0454139,0.0692478,-0.0421948,-0.0370303,,-0.00101876,0.0454139,-0.0259011,-0.0330905,0.0159531,,0.00684281,-0.0454139,-0.0489663,0.0421948,0.0347552,,0.0355857,-0.0454139,0.0115747,0.0330905,-0.00350507,-0.022159
current_wuxi_month,-0.089578,-0.089023,-0.0879344,-0.0920853,0.0308948,,,-0.0575826,-0.000583104,-0.0705521,-0.0626508,0.0260519,-0.00715603,0.0499751,0.00490324,-0.0420038,0.00526646,1,-0.0678725,,,,,,,,,0.104949,-0.12085,0.00753408,,0.0250608,-0.102696,-0.119639,-0.119801,-0.0575826,,-0.0628665,-0.016257,,,0.000624158,-0.00708551,-0.0618333,0.220676,-0.0340597,0.0131463,-0.0654232,-0.072592,0.0618333,-0.220676,0.0311784,0.0621117,-0.0560978,-0.0423774,0.0628665,0.016257,0.0423774,0.0286234,0.0145709,0.124377,-0.0461791,-0.0484736,0.0698266,-0.0170608,-0.00715603,-0.0601561,-0.0124779,-0.0351596,-0.0236065,0.00236507,0.0499751,-0.0499751,0.0124779,0.0351596,0.0216583,0.0608886,-0.00490496,0.132601,0.0461791,0.0484736,-0.0353617,-0.00489889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0660706,-0.0423774,-0.0392575,0.0441696,-0.166172,,0.0183769,0.0423774,0.0605759,-0.0407457,0.18011,,-0.0694838,-0.0423774,-0.0546685,0.0441696,-0.233842,,-0.044742,-0.0423774,-0.0816255,0.0407457,-0.167176,,0.0853428,0.0423774,0.0401318,-0.0441696,0.240209,,0.035756,0.0423774,0.0858167,-0.0407457,0.136026,-0.0927777
current_wuxi_year,-0.430025,-0.432567,-0.430604,-0.432602,-0.105376,,,-0.00169561,0.0199146,0.0294644,0.0878674,0.182407,0.631406,-0.62895,-0.13321,0.0230423,0.0223037,-0.0678725,1,,,,,,,,,-0.00630221,-0.603281,0.0394662,,0.0160691,-0.604975,-0.602396,-0.603509,-0.00169561,,-0.0252672,0.0316052,,,0.0185266,0.0246381,0.0214299,-0.0163263,-0.0608369,-0.000386956,0.0324598,-0.0322643,-0.0214299,0.0163263,0.038709,0.0132918,-0.026947,0.65515,0.0252672,-0.0316052,-0.65515,-0.678124,0.148184,0.166297,-0.0937342,-0.03841,0.171417,-0.609162,0.631406,0.372714,0.00702161,0.721904,0.708046,0.438315,-0.62895,0.62895,-0.00702161,-0.721904,-0.691552,-0.587908,-0.111411,-0.0786157,0.0937342,0.03841,-0.118648,0.487385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00887442,0.65515,-0.217122,-0.750811,-0.0301983,,-0.00922016,-0.65515,0.118145,0.769735,-0.0757024,,-0.0185782,0.65515,-0.112199,-0.750811,0.0862172,,0.00606192,0.65515,0.184148,-0.769735,-0.279943,,0.0268004,-0.65515,-0.155586,0.750811,0.0943328,,-0.00784878,-0.65515,0.212298,0.769735,0.0516068,-0.439078
base_year_pillar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base_month_pillar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base_day_pillar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base_hour_pillar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base_month_pillar_minus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base_hour_pillar_minus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base_year_pillar_minus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base_day_pillar_minus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,0.203276,0.215028,0.211384,0.214072,0.286795,,,0.00507225,-0.0148463,-0.00847715,-0.093593,-0.134525,-0.0486587,-0.530661,-0.138853,-0.0341817,-0.014213,0.104949,-0.00630221,,,,,,,,,1,-0.4831,0.026219,,-0.0324287,-0.454712,-0.479246,-0.476363,0.00507225,,-0.0167812,-0.0306592,,,-0.0158339,0.00900954,0.0253964,-0.00229921,0.0231316,-0.0112437,-0.00852772,-1.01668e-05,-0.0253964,0.00229921,-0.00916841,0.0146285,-0.016225,-0.444449,0.0167812,0.0306592,0.444449,0.509509,-0.172382,0.273259,-0.0590124,-0.0743393,-0.138615,-0.360642,-0.0486587,0.72727,-0.741387,0.216995,0.0266547,0.404379,-0.530661,0.530661,0.741387,-0.216995,0.248137,-0.590445,-0.128421,-0.138589,0.0590124,0.0743393,-0.144762,0.323242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0218685,-0.444449,-0.221149,0.240056,0.0931049,,0.0349224,0.444449,0.105038,0.0318646,-0.082815,,-0.0260028,-0.444449,-0.248973,0.240056,-0.000228663,,-0.0232454,-0.444449,0.0958321,-0.0318646,-0.00508176,,0.0249578,0.444449,0.0899316,-0.240056,0.134756,,0.0294603,0.444449,0.136996,0.0318646,-0.112352,0.218167
month,0.573302,0.56382,0.580107,0.571649,0.059037,,,0.00891654,-0.00787729,-0.0158762,-0.0310463,0.0380459,-0.679296,0.621595,0.184425,0.00735652,-0.00851461,-0.12085,-0.603281,,,,,,,,,-0.4831,1,-0.0395147,,0.0042417,0.976024,0.996943,0.996825,0.00891654,,0.0258049,-0.000436636,,,-0.00720374,-0.00500875,-0.00846697,-0.00766488,-0.0103049,-0.00871431,-0.0158984,0.00185844,0.00846697,0.00766488,-0.0063941,-0.0108303,0.0268656,-0.329307,-0.0258049,0.000436636,0.329307,0.40011,0.0775401,-0.238036,0.087271,0.0796381,-0.25452,0.581311,-0.679296,-0.32911,0.355041,-0.706879,-0.692351,-0.686009,0.621595,-0.621595,-0.355041,0.706879,0.580606,0.525735,0.171778,0.22477,-0.087271,-0.0796381,0.223625,-0.496013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0189398,-0.329307,0.249274,0.508474,0.0276902,,-0.0150903,0.329307,-0.177781,-0.656599,0.0817492,,0.015953,-0.329307,0.200446,0.508474,0.0724581,,0.0254338,-0.329307,-0.126779,0.656599,0.159451,,-0.0199362,0.329307,0.0997172,-0.508474,-0.261327,,-0.0251339,0.329307,-0.287413,-0.656599,0.0399764,0.568871
day,0.00685196,0.0026263,0.0137281,0.00580255,0.031481,,,-0.0125988,0.0278861,-0.0359332,0.00465277,0.138554,0.0221853,-0.0833358,-0.0857024,-0.00966346,0.0257146,0.00753408,0.0394662,,,,,,,,,0.026219,-0.0395147,1,,-0.013852,-0.0250775,0.0385609,0.0388775,-0.0125988,,0.0101461,-0.0127979,,,0.0260711,0.0258295,-0.0364517,0.0959956,-0.0235833,-0.0412212,-0.0352436,-0.0190341,0.0364517,-0.0959956,0.023287,0.0430194,0.0101195,-0.0304298,-0.0101461,0.0127979,0.0304298,0.0387022,0.13624,0.0800786,-0.137852,0.05241,-0.0859132,-0.0728872,0.0221853,0.0930338,-0.0904542,0.0529401,0.0317051,0.0690438,-0.0833358,0.0833358,0.0904542,-0.0529401,0.00149853,-0.0865581,-0.0788481,-0.10836,0.137852,-0.05241,0.0270245,0.128418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00125381,-0.0304298,-0.104781,0.00192465,0.0108761,,-0.0194006,0.0304298,0.0324674,0.0320374,-0.0380001,,-0.0243068,-0.0304298,-0.0889026,0.00192465,0.0914595,,0.0302373,-0.0304298,-0.0218284,-0.0320374,-0.0527225,,0.0161785,0.0304298,0.0548832,-0.00192465,-0.0594174,,-0.0246074,0.0304298,0.0624883,0.0320374,0.0071566,0.0229423
hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dayofweek,-0.0235906,-0.0145778,-0.0198946,-0.0164316,0.0563374,,,-0.00206848,-0.0407551,0.0153195,0.038513,-0.0296035,-0.00726955,0.0322993,0.010755,0.00696461,-0.0392495,0.0250608,0.0160691,,,,,,,,,-0.0324287,0.0042417,-0.013852,,1,-0.000340286,0.00308535,-0.00974525,-0.00206848,,0.0363055,-0.00387227,,,-0.0376886,-0.0305078,0.0454986,0.0202931,0.018247,-0.00870665,0.0162657,-0.00208046,-0.0454986,-0.0202931,-0.00177966,-0.0219541,0.0369701,0.0120328,-0.0363055,0.00387227,-0.0120328,-0.0185481,-0.0266669,-0.0223524,0.00839579,-0.0173555,0.0246957,-0.00238969,-0.00726955,-0.0370017,0.0346268,-0.019839,-0.0112884,-0.0255736,0.0322993,-0.0322993,-0.0346268,0.019839,-0.00158287,0.0339929,0.00930191,-0.000384887,-0.00839579,0.0173555,-0.00116026,-0.00880396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0236416,0.0120328,0.0114174,-0.00117833,0.0157908,,-0.0141258,-0.0120328,0.00779238,-0.01181,-0.022845,,0.0358265,0.0120328,-0.0208412,-0.00117833,0.00270429,,0.0218329,0.0120328,0.017183,0.01181,0.0315018,,-0.035466,-0.0120328,0.0198597,0.00117833,-0.0128528,,-0.0180617,-0.0120328,-0.0105354,-0.01181,-0.0132963,-0.00641396
quarter,0.602452,0.593809,0.605607,0.597913,0.0841838,,,0.00731301,-0.0199565,-0.00707255,-0.0328434,0.068214,-0.687842,0.639853,0.214993,0.00914152,-0.0195928,-0.102696,-0.604975,,,,,,,,,-0.454712,0.976024,-0.0250775,,-0.000340286,1,0.974161,0.974158,0.00731301,,0.0276361,0.00111127,,,-0.018601,-0.0141432,0.00349422,0.00227429,-0.0035852,-0.0127275,-0.00667756,-0.00306966,-0.00349422,-0.00227429,-0.00870351,-0.00693697,0.0289432,-0.351315,-0.0276361,-0.00111127,0.351315,0.416578,0.105051,-0.207756,0.0862373,0.0805132,-0.277322,0.589637,-0.687842,-0.346876,0.346682,-0.723337,-0.706253,-0.687054,0.639853,-0.639853,-0.346682,0.723337,0.595396,0.546608,0.205268,0.222057,-0.0862373,-0.0805132,0.240752,-0.506725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0143254,-0.351315,0.220141,0.530727,0.0272656,,-0.0132621,0.351315,-0.212526,-0.676347,0.108028,,0.01007,-0.351315,0.205066,0.530727,0.0726835,,0.0250973,-0.351315,-0.155852,0.676347,0.142754,,-0.0162069,0.351315,0.0843651,-0.530727,-0.248608,,-0.0213222,0.351315,-0.282049,-0.676347,0.0547121,0.590386
